mes,ipc
Dec-16,100
Jan-17,101.313
Feb-17,103.8085
Mar-17,106.2627
Apr-17,109.0613
May-17,110.4607
Jun-17,111.9943
Jul-17,113.9199
Aug-17,115.6031
Sep-17,117.9656
Oct-17,119.4985
Nov-17,120.8941
Dec-17,125.0392
Jan-18,127.0147
Feb-18,130.2913
Mar-18,133.5028
Apr-18,136.938
May-18,139.58
Jun-18,145.0582
Jul-18,149.1178
Aug-18,155.1747
Sep-18,165.4903
Oct-18,173.8549
Nov-18,178.877
Dec-18,183.9381
Jan-19,189.1236
Feb-19,196.3597
Mar-19,205.7679
Apr-19,212.4469
May-19,218.8793
Jun-19,224.6105
Jul-19,229.4286
Aug-19,238.3069
Sep-19,252.1482
Oct-19,260.2101
Nov-19,270.8019
Dec-19,281.1775
Jan-20,286.4913
Feb-20,291.737
Mar-20,302.2274
Apr-20,306.4483
May-20,311.0922
Jun-20,317.4661
